ts	phase	decision	why	evidence	result
2026-08-31T20:59:02Z	baseline	fixed the existing knowledge-base PostgreSQL fixture to match jobs concurrency columns	the stale test harness hid whether later full database suites regressed	internal/knowledgebases/service_postgres_test.go	PASS: focused knowledgebases race suite
2026-08-31T20:59:02Z	unit1	ran the complete repository race suite against a fresh PostgreSQL database after the fixture repair	Unit 1 is not accepted until both skipped and database-backed paths are green	TEST_DATABASE_URL=ref0_agents_full_clean go test -race -count=1 -p=1 ./...	PASS all packages
2026-08-31T20:59:02Z	unit1	proved SQLC regeneration deterministic	generated artifacts must follow the rewritten baseline exactly	go generate ./internal/database/sqlc plus before and after SHA-256 checks	PASS identical checksums
2026-08-31T20:59:02Z	review	completed independent static Unit 1 review	delegated self-report is not sufficient acceptance evidence	/root/impact_schema_agents review	PASS: no concrete SQL FK idempotency audit event or generated-model defect
2026-08-31T21:06:55Z	unit2	kept the existing Agent run schema and fixed an atomic capture settlement contract	Unit 2 needs a deep executor and exact receipt behavior but no additional persistence surface	/root/unit2_store_contract report	DECIDED: repeatable-read capture, all-or-nothing corpus authorization, keyed request digest, exact final receipt, and freshness that permits immutable wiki republish
2026-08-31T21:09:11Z	unit2	rejected durable answer replay and exactly-once provider execution from the executor slice	the product is stateless by design and run receipts deliberately retain neither transcript nor answer body	/root/impact_answer_api review	DECIDED: RunID settlement is idempotent; adapters may retry execution and no transaction or advisory lock spans a provider call
2026-08-31T21:09:11Z	unit2	kept model-visible evidence handles opaque and ledger-backed	raw database identifiers in a syntactically scoped handle still expose implementation identity and do not themselves grant capability	docs/spec/2026-08-31-agents-delivery-plan.md:238	DECIDED: only exact capabilities minted in the current in-memory run ledger resolve
2026-08-31T21:19:11Z	unit3	fixed the OpenAI compatibility plane to a narrow stateless subset	Open WebUI requires model discovery and chat completions but Agent configuration must retain ownership of tools model and output policy	/root/impact_answer_api Unit 3 report	DECIDED: GET /v1/models plus POST /v1/chat/completions JSON and buffered SSE; system user assistant text roles only; reject unknown fields and caller tools
2026-08-31T21:19:11Z	unit3	omitted chat Idempotency-Key and durable answer replay	an idempotency header would promise reconstructable output while privacy requirements deliberately prohibit answer and transcript retention	Unit 2 stateless decision	DECIDED: every accepted completion request is a new stateless run and mutation idempotency remains operator-only
2026-08-31T21:19:11Z	unit3	pinned the external compatibility probe to Open WebUI v0.11.3	the supported UI needs an observable versioned release target rather than an unbounded current label	https://github.com/open-webui/open-webui/releases/tag/v0.11.3	DECIDED: probe v0.11.3 protocol behavior and update the pin intentionally on compatibility releases
2026-08-31T21:22:03Z	unit4	fixed Discord cutover around reusable connections and concrete Agent routes	bot lifecycle belongs to the connection while routing and authorization belong to Agent bindings	/root/unit2_store_contract Unit 4 report	DECIDED: one gateway per connection; Agent bindings own normalized MENTION and SLASH_COMMAND trigger rows with database-enforced enabled-route uniqueness
2026-08-31T21:22:03Z	unit4	isolated bounded Discord context from generic conversations	HTTP must stay stateless while Discord needs explicitly scoped short-term continuity	/root/unit2_store_contract Unit 4 report	DECIDED: context key is binding plus Agent version plus user plus destination and only successfully delivered verified exchanges are appended
2026-08-31T21:22:03Z	unit4	required live final delivery reauthorization	model time creates a race window across binding Agent corpus identity destination and Discord permissions	docs/spec/2026-08-31-agents-delivery-plan.md execution receipt	DECIDED: refresh member destination audience and bot permissions after execution; suppress delivery and context on any mismatch; a newer immutable wiki alone remains valid
2026-08-31T21:56:37Z	unit2	accepted the deep stateless Agent executor	one execution boundary now captures the exact Agent model provider credential and ordered multi-KB corpus before authorization and bounded retrieval	internal/agents; TEST_DATABASE_URL=ref0_agents_unit2_postfollow_20260831 go test -race -count=1 -p=1 ./internal/agents	PASS: multi-KB fair retrieval, capability-scoped evidence, verified citations, fixed guardrails, bounded provider calls, and metadata-only run receipts
2026-08-31T21:56:37Z	unit2	normalized receipt timestamps at the PostgreSQL precision boundary	exact RunID replay must compare the value PostgreSQL can represent instead of an unrepresentable nanosecond timestamp	internal/agents/execution_store.go; internal/agents/execution_store_postgres_test.go	PASS: independent timestamp reviewer and sub-microsecond database race regression
2026-08-31T21:56:37Z	review	accepted Unit 2 after two independent targeted re-reviews	the executor crosses authorization provenance and durable-settlement trust boundaries	/root/impact_answer_api; /root/unit2_store_contract	PASS: exact capture invariants, canonical citation scope, WIKI_ONLY manifest suppression, and exact receipt replay
2026-08-31T21:56:37Z	unit2	ran the complete repository race suite against a second fresh PostgreSQL database	accepted hardening changed central execution validation and needed a clean database regression gate	TEST_DATABASE_URL=ref0_agents_unit2_full_postfollow_20260831 go test -race -count=1 -p=1 ./...	PASS all packages
2026-08-31T22:54:53Z	unit3	accepted the Agent operator APIs scoped chat tokens and stateless OpenAI compatibility plane	operators and external clients now have separate authenticated surfaces with immutable Agent selection and no HTTP chat ownership	internal/api/agents.go; internal/api/compatibility.go; internal/chattokens	PASS JSON buffered SSE non-enumerating errors exact PATCH lifecycle bounded version and run reads
2026-08-31T22:54:53Z	unit3	hardened issue-once token boundaries after independent review	an expiry lock race fallible post-commit metadata enrichment and inaccurate generated response shapes could authenticate late or strand credentials	/root/unit2_store_contract review; internal/chattokens/service_postgres_test.go; internal/api/agents_test.go	PASS lock-after-expiry rejection pre-issue batch scope snapshot digest-only storage typed replay union and scope bounds
2026-08-31T22:54:53Z	unit3	scrubbed restricted evidence locators at the shared executor presentation boundary	model-authored Markdown can echo paths or resources beyond generated citation footnotes	internal/agents/guardrails.go; internal/agents/execution_test.go	PASS complete evidence-ledger locator scrub with full operator receipt provenance retained
2026-08-31T22:54:53Z	review	closed two independent Unit 3 review loops	compatibility and token control planes cross authentication protocol privacy persistence and generated-contract trust boundaries	/root/impact_answer_api; /root/unit2_store_contract	PASS all reported P1 and P2 findings fixed and re-reviewed
2026-08-31T22:54:53Z	unit3	ran focused and complete clean-database race gates plus vet and generated frontend checks	Unit 3 changed production routing executor presentation token transactions and public contracts	TEST_DATABASE_URL=ref0_agents_unit3_hardened_full_20260831 go test -race -count=1 -p=1 ./...; go vet; npm check:api; npm typecheck	PASS all packages and checks
2026-09-01T00:16:31Z	unit4	verified the final Discord cutover on two distinct fresh PostgreSQL databases	Discord routing delivery authorization and worker settlement cross database gateway and transport race boundaries	TEST_DATABASE_URL=ref0_agents_unit4_parent_final_20260831_a focused race suites; TEST_DATABASE_URL=ref0_agents_unit4_parent_full_20260831_b go test -race -count=1 -p=1 ./...	PASS focused and complete repository race suites; final schema 54 tables 610 columns 134 indexes
2026-09-01T00:16:31Z	unit4	proved generated contracts deterministic and static gates clean	baseline schema and public API changes must reproduce exactly from source	go generate ./internal/database/sqlc twice; npm generate:api twice; go vet; npm check:api; npm typecheck; gofmt -l; git diff --check	PASS unchanged SQLC and OpenAPI hashes on both generations and all static checks
2026-09-01T00:17:57Z	review	accepted the Discord Agent-delivery cutover after a final independent line-by-line review	gateway callbacks worker settlement live permission state and multi-chunk delivery form one security-critical race boundary	/root/unit4_final_review; independent focused race suite and complete serial suite	PASS no remaining P1 or P2 findings after fixing generation fences overwrite digest exact roles thread permissions and snapshot-bound registration settlement
2026-09-01T01:40:40Z	unit5	implemented the Agent operator experience and scoped chat-token control plane	operators need one versioned Agent page plus explicit Discord and Open WebUI delivery controls without a replacement dashboard chat	frontend/src/features/agents; frontend/src/features/credentials/ChatAccessTokensPage.tsx; frontend/src/features/discord; internal/api/agents.go; internal/chattokens/service.go	PASS Agent list create detail readiness lifecycle runs versions Discord bindings token preview issue secret-once ledger and revoke
2026-09-01T01:40:40Z	unit5	made token listing page-first and constant-size and made readiness conflicts actionable	legal token bounds could otherwise expand a page into millions of repeated scope values while active mutations could return an indistinguishable generic conflict	internal/chattokens/service.go; internal/api/agents.go; frontend/src/features/agents/AgentConfigurationPage.tsx	PASS bounded summary query uses the created-at ID cursor index; full scope remains single-token; exact transactional readiness snapshots cover replace and activate
2026-09-01T01:40:40Z	unit5	removed the misleading Discord connection DELETE alias under Ponytail	PATCH lifecycle already provides reversible disable while DELETE only disabled and preserved bindings	internal/api/discord.go; internal/discord/connections.go; frontend/src/features/discord	PASS executable DELETE route service store client event OpenAPI and UI residues absent; lifecycle disable preserves binding intent
2026-09-01T01:40:40Z	review	closed independent backend and frontend Unit 5 review loops	operator routing credentials modal focus and async target changes cross persistence protocol and accessibility boundaries	/root/unit5_backend_review; /root/unit5_frontend_review	PASS no remaining P1 or P2 after endpoint-labeled duplicate models form locking unique dialogs secret overwrite prevention and keyed late-error suppression
2026-09-01T01:40:40Z	verification	classified the first parent full-race attempt as infrastructure-interrupted	the dedicated test PostgreSQL container received an external fast shutdown and every failure was connection refused rather than an assertion	TEST_DATABASE_URL=ref0_agents_unit5_parent_full_final_20260901 go test -race -count=1 -p=1 ./...	INCONCLUSIVE then superseded by a clean rerun after the container was ready and delegated database work ended
2026-09-01T01:40:40Z	unit5	ran the final parent race static frontend and deterministic-generation gates	Unit 5 changes public contracts storage queries credentials and all primary operator routing flows	fresh TEST_DATABASE_URL full go test -race; go vet ./...; frontend typecheck lint check:api 22 files 102 tests build; SQLC and OpenAPI double generation	PASS all suites; SQLC aggregate 73c7831d1b4fb9a43f76deddd91988fa617f23737ba847829e51761eb90923e4 and OpenAPI aggregate 919bd32a2fbccc9fd301ca051146d8ac3ee606905ca8e510e92f5465b2456a3a unchanged twice
2026-09-01T01:40:40Z	unit5	measured the fresh migrated Unit 5 schema instead of copying an estimate	final hard-cutover counts need a precise before-state and the token cursor added one application index	fresh ref0_agents_unit5_schema_final_20260901 information_schema and pg_indexes	PASS live 54 tables 610 columns 135 indexes including goose; application baseline 53 tables 606 columns 134 indexes
2026-09-01T01:40:40Z	unit5	passed isolated production browser acceptance and cleanup proof	the Agent and token UI must work through the production image database worker restart and secret-containment boundaries	REF0_ACCEPT_DATABASE_PORT=15433 bash verification/run-browser-acceptance.sh	PASS 2 Playwright journeys in 35.5 seconds; lock ports containers volumes network proxy and scanner cleaned; user local stack untouched
2026-09-01T03:50:31Z	unit6	completed the unreleased hard cutover to Agents	generic HTTP conversations query runs dashboard Chat KB ANSWER ownership and the old answer package must not survive the new product boundary	db/migrations/00001_baseline.sql; internal/api; internal/retention; internal/operations; frontend/src; README.md; CONTEXT.md; docs	PASS Agents are the sole answer aggregate; HTTP is stateless through /v1; Discord retains only Agent-version-scoped bounded context; exact legacy absence and retired-route 404 gates pass
2026-09-01T03:50:31Z	unit6	added a durable capture-to-settlement wiki fence	an immutable wiki captured before republish must remain readable through provider execution while retention must still reclaim crash residue	internal/agents/execution_store.go; internal/agents/engine.go; internal/retention; agent_run_scope_reservations	PASS initial REPEATABLE READ scope locks atomic 24h reservations a 20h execution ceiling exact receipt consumption bounded crash cleanup and both retention interleavings
2026-09-01T03:50:31Z	unit6	made Agent receipts recoverable and exact	transient settlement timeout app/database clock skew credential replacement and float JSON decoding could otherwise erase or misattribute audit history	internal/agents/engine.go; internal/agents/execution_store.go; internal/api/agents.go	PASS failed settlement preserves its lease for replay; completion clamps to captured DB time; UseNumber distinguishes adjacent integers above 2^53; credential ID and version survive A:v1 to B:v1 replacement
2026-09-01T03:50:31Z	unit6	bounded retained-window operations	row-retained values cannot be exposed as lifetime counters and old-wiki probes must not scan the 90-day scope ledger	internal/api/metrics.go; internal/retention; internal/operations; db/migrations/00001_baseline.sql	PASS SQL aggregation returns bounded groups; Agent metrics are saturating ref0_agent_retained_* gauges; 100k fixture fits the five-second collector bound; retention FAILED-run and wiki-leading plans use indexes
2026-09-01T03:50:31Z	unit6	made schema and recovery proof exact	aggregate object counts and ciphertext copies cannot prove a usable restored system	internal/migrate/testdata/application_catalog.json; internal/migrate/schema_parity_test.go; verification/backup_restore_test.go	PASS 51 tables 582 columns 133 indexes 259 CHECK constraints and 89 FKs; restore decrypts the service-created credential and verifies both wiki manifests pages publication pointers scope digests and the complete Agent receipt
2026-09-01T03:50:31Z	review	closed independent Unit 6 and final hardening review loops	retention artifact races receipt provenance metric semantics schema parity and recovery cross the strongest durability boundaries	/root/unit6_backend_review; /root/unit6_surface_docs_review; /root/final_fence_review; /root/final_ops_review; /root/unit6_docs_cutover/final_p2_review	PASS all concrete P1/P2 findings fixed and re-reviewed; no remaining P1/P2 findings
2026-09-01T03:50:31Z	visual	passed final desktop and mobile Agent UI audit	Agent configuration Discord and token controls must remain usable without off-screen content or failing danger-action contrast	isolated Playwright Vite harness at 1440x1000 and 390x844; frontend/src/styles.css	PASS no browser errors horizontal overflow or axe color-contrast violations across Agent list create detail Discord token ledger and token preview; frontend 22 files 100 tests build green
2026-09-01T03:50:31Z	verification	passed parent-owned final exact-tree proof	the final acceptance must run after every review-driven fix rather than reuse earlier green evidence	fresh TEST_DATABASE_URL go test -race -count=1 -p=1 ./...; vet build mod verify diff; deterministic SQLC OpenAPI catalog; Docker restore; production browser acceptance	PASS full race and static suites; SQLC 8e49dd63d49223d582afde0d146d14f0d2cac834e7d025e406930e7c0bdc74e2 OpenAPI db9ef2adc1679a23494ace6d0b2d9439e2daada4208dd0a82f9b36a4d8280b0e catalog 9442a1f9ab8aa6038cd753b9f4e8c4909d28b7f5adb59d141bbaf40e9222f1e7; restore 9.50s; 2 production Playwright journeys 36.5s; cleanup proven and user stack healthy
2026-09-01T03:57:36Z	review	passed cross-model decision-trail audit	a long architecture cutover needs a model outside the implementation review loop to compare the original request decisions code and claimed evidence	gpt-5.4 /root/cross_model_trail_review; .audit/agents-delivery.tsv; plan; release record; implementation	PASS no missed product requirement or P1; one stale pre-final restore duration corrected from 5.73s to the final 9.50s proof
2026-09-01T03:57:36Z	review	applied no-comments and removed a dead import shim	a narrative comment plus dummy var retained imports that Go resolves per file and obscured the real dependency boundary	/root/comment_sicko; internal/documentation/store.go	PASS 2 comment lines 1 dummy declaration and 4 unused imports deleted; 0 restored; no TODO FIXME HACK suppressions constraints or open findings; focused race and static gates pass
2026-09-01T03:57:36Z	review	completed final transcript-to-product audit	the delivered system must answer every explicit user requirement rather than only match its implementation plan	original Agents request; frontend Agent configuration and Discord flows; /v1 compatibility; legacy absence; plan decisions	PASS unlimited paginated Agent catalog per-Agent model identity ordered KB guardrails and Discord; stateless client-owned HTTP chats; no dashboard Chat or generic saved sessions; Ponytail Poteto review and proof obligations complete
