ts	phase	decision	why	evidence	result
2026-08-28T20:06:10Z	judge	isolated every fixture Git command and narrowed the host-path guard	the judge reproduced global Git config interference and identified a future PurePosixPath false positive	tests/contract/test_local_fakes.py::test_git_fixture_ignores_process_git_configuration	320 passed, 1 skipped; manifest remains 1 verified and 140 pending
2026-08-28T20:26:39Z	implementation	landed unit 1A as one reversible PostgreSQL control-plane schema	queue fencing, durable events, sessions, credentials, knowledge bases, audit, and idempotency need one stable transactional base	migrations/versions/20260828_0001_control_plane.py, tests/integration/test_migrations.py	upgrade, downgrade, upgrade, and Alembic drift check pass on PostgreSQL 18.6
2026-08-28T20:26:39Z	judge	bound PostgreSQL to loopback and constructed migration URLs from separate fields	the judge found public host exposure and reserved-character password breakage in Compose	docker-compose.yml, migrations/env.py	migration cycle passes with a password containing @, colon, percent, and slash; scoped volume removed
2026-08-28T20:26:39Z	verification	re-ran the complete suite on the deployment Python version	unit 1A must preserve the legacy bot while establishing the new persistence base	.venv/bin/python -m pytest -q	320 passed, 2 skipped; manifest remains valid with 141 items
2026-08-28T20:47:41Z	implementation	landed unit 1B as a PostgreSQL queue with durable attempts, events, audit, and idempotency	workers need crash recovery and at-most-once result acceptance without a second queue service	app/persistence/sqlalchemy/job_store.py, app/persistence/sqlalchemy/uow.py	FOR UPDATE SKIP LOCKED contention, reclamation, retry scheduling, rollback, and active-operation adoption pass
2026-08-28T20:47:41Z	judge	closed three reproduced queue races with post-lock database time, explicit cancellation, and a transaction-bound permit guard	the judge demonstrated late completion acceptance, cancellation override, and the lack of an atomic domain-write fence	tests/integration/test_jobs.py	blocked expiry rejects; CANCEL_REQUESTED converges; stale sentinel mutation rolls back; judge re-review passed
2026-08-28T20:47:41Z	verification	ran unit 1B and the full suite against fresh PostgreSQL on Python 3.11	concurrency claims require real database locks and the migration must remain reversible	TEST_DATABASE_URL and .venv/bin/python -m pytest -q	16 focused integration tests and 340 full tests pass with one skipped; scoped Compose volume removed
2026-08-28T21:07:57Z	implementation	landed unit 1C as one-use bootstrap, opaque database sessions, and session-bound CSRF	the control plane needs restart-safe authentication without JWT or an auth framework	app/persistence/sqlalchemy/session_store.py, app/api/routes/auth.py	concurrent bootstrap, restart, expiry, revocation, cookies, CSRF, and secret containment pass
2026-08-28T21:07:57Z	judge	fixed bootstrap recovery, event-loop blocking, normalization overflow, cache retention, and login enumeration	the judge reproduced permanent first-run lockout, synchronous scrypt stalls, a casefold 500, cacheable CSRF, and a username timing gap	tests/integration/test_auth_api.py	guarded token rotation, bounded off-loop scrypt, dummy verification, key bounds, and no-store passed judge re-review
2026-08-28T21:07:57Z	verification	ran unit 1C and the full suite against fresh PostgreSQL on Python 3.11	authentication claims require persisted state and real concurrent locking	TEST_DATABASE_URL and .venv/bin/python -m pytest -q	12 focused database tests and 355 full tests pass with one skipped; scoped Compose volume removed
2026-08-28T21:29:00Z	implementation	landed unit 1D as an AES-GCM credential vault with a write-only authenticated API	configured repository, provider, and Discord secrets need durable rotation without plaintext crossing the API or persistence boundary	app/adapters/security/credential_vault.py, app/persistence/sqlalchemy/credential_store.py	create, list, get, rotate, prior-key idempotency, rollback, and plaintext containment pass
2026-08-28T21:29:00Z	judge	closed stale replay, serialization, duplicate-key, and timestamp-order escape hatches	the judge reproduced misleading delayed replays and found ways secret holders or process clocks could violate the intended boundary	tests/unit/test_credential_vault.py, tests/integration/test_credentials_api.py	stale versions return 409; pickle and copy fail; strict unique key material holds; PostgreSQL timestamps follow serialization locks; judge re-review passed
2026-08-28T21:29:00Z	verification	ran unit 1D and the full suite against PostgreSQL on Python 3.11	encryption, idempotency, and concurrent rotation guarantees require real database transactions	TEST_DATABASE_URL and .venv/bin/python -m pytest -q	30 focused tests and 374 full tests pass with one skipped; manifest and Compose config valid; scoped Compose volume removed
2026-08-28T21:46:14Z	implementation	landed unit 1E as an optimistic knowledge-base lifecycle with deferred fenced purge	archive and recoverable deletion need distinct states while reusing the durable queue and existing schema	app/domain/knowledge_bases.py, app/persistence/sqlalchemy/knowledge_base_store.py	create, update, archive, exact-confirm delete, restore, and purge pass on PostgreSQL without a migration
2026-08-28T21:46:14Z	judge	kept lifecycle timestamps database-owned and accepted the archived_at delete-origin encoding	an injected process clock would weaken ordering while the existing archive timestamp already preserves ACTIVE versus ARCHIVED origin	tests/integration/test_knowledge_base_api.py	post-lock clock_timestamp, stable purge adoption, cancellation races, target fencing, unique names, and rollback passed independent review
2026-08-28T21:46:14Z	verification	ran unit 1E and the full suite against PostgreSQL on Python 3.11	deferred deletion and restore correctness depend on real row, advisory, and queue locks	TEST_DATABASE_URL and .venv/bin/python -m pytest -q	33 root focused tests, 35 judge tests, and 399 full tests pass with one skipped; manifest and Compose valid; scoped volume removed
2026-08-28T22:15:32Z	implementation	landed unit 1F as authenticated job reads and cancellation, fenced worker dispatch, durable SSE, and narrow health probes	operators need observable recoverable work while PostgreSQL remains the only correctness store	app/jobs/runner.py, app/api/routes/jobs.py, app/api/routes/events.py, app/persistence/sqlalchemy/readiness.py	job filters, purge dispatch, retry and cancellation, restart recovery, SSE resume and heartbeat, and readiness pass
2026-08-28T22:15:32Z	judge	made accepted results beat late cancellation and moved idempotency expiry behind the database lock	the judge reproduced a committed purge reported as cancelled and showed process-clock TTL skew across advisory waits	tests/integration/test_job_runner.py, tests/integration/test_idempotency.py	accepted-result completion is separately fenced; ordinary permits remain LEASED-only; post-lock clock_timestamp owns created_at and expiry; judge re-review passed
2026-08-28T22:15:32Z	streaming	serialized event append transactions before sequence allocation	identity sequences can commit out of order and make a resume cursor skip an earlier transaction	app/persistence/sqlalchemy/uow.py, tests/integration/test_events_sse.py	advisory transaction lock preserves committed sequence order; rollbacks leave harmless gaps; readers use short sessions
2026-08-28T22:15:32Z	verification	ran unit 1F and the full suite against PostgreSQL on Python 3.11	worker leases, cancellation races, durable cursors, and migration readiness require the real database	TEST_DATABASE_URL and .venv/bin/python -m pytest -q	55 judge-affected tests and 423 full tests pass with one skipped; manifest and Compose valid; scoped volume removed
2026-08-28T22:41:58Z	implementation	landed unit 1G as a four-service local and Portainer deployment with guarded live acceptance	the control plane needs deterministic migrations, separate API and worker processes, durable volumes, loopback exposure, restart proof, and secret containment	docker-compose.yml, docker-compose.portainer.yml, Dockerfile, scripts/verify_control_plane.py	fresh image migration cycle, API restart, worker recovery, purge metadata, and secret scans pass; evidence remains narrowly scoped
2026-08-28T22:41:58Z	judge	bound acceptance endpoints to the named Compose runtime and extended sentinel scans into binary columns	the judge showed that lexical scope could cross-wire lifecycle commands from API and SQL targets, and plaintext bytea could evade a text-only scan	tests/test_verify_control_plane.py	runtime labels, image IDs, database identity, exact ports, fail-before-write cross-wire regression, and parameterized bytea search pass judge re-review
2026-08-28T22:41:58Z	verification	ran the complete control-plane image against fresh PostgreSQL and rechecked the manifest	deployment claims require the built artifact, reversible migrations, persistent browser-facing state, and honest evidence	scripts/verify_control_plane.py --restart --secret-scan	438 passed with one skipped on real PostgreSQL; migration up/down/up/check passed; five direct requirements plus ACC-017 verified and 135 remain pending
2026-08-28T22:41:58Z	cleanup	removed the exact cmdp-accept-unit1g containers, network, and named acceptance volumes	the disposable acceptance database and application state were no longer needed after judge approval	docker compose --project-name cmdp-accept-unit1g down -v --remove-orphans	no scoped containers or volumes remain; the reusable local image was retained
2026-08-28T23:05:10Z	implementation	landed unit 1H as a generated-client React control-plane shell served by FastAPI	the first milestone needs browser-owned interaction and accessibility state without moving authorization, secrets, or lifecycle policy out of Python	frontend/, app/api/app.py, scripts/generate_openapi.py	auth, overview, knowledge-base lifecycle, masked credentials, jobs, settings, responsive navigation, offline fonts, and API-safe SPA fallback pass
2026-08-28T23:05:10Z	browser	proved the first milestone through the built image and a real browser	static or component tests cannot prove HTTP-only cookies, process restart persistence, or the served asset path	frontend/e2e/auth-session.spec.ts	fresh browser access, UI-created knowledge base, exact API-container restart, persisted reload, logout, and cookie removal pass in 12.9 seconds
2026-08-28T23:05:10Z	judge	closed expired-session cache retention, inaccessible modal errors, cached CSRF variables, and warning contrast	the judge reproduced protected metadata remaining after revocation, inert background feedback, auth material in MutationCache, and a 4.41-to-1 status token	frontend/src/app/auth.test.tsx, frontend/src/app/ConfirmationDialog.test.tsx, frontend/src/features/knowledge-bases/KnowledgeBaseDetailPage.test.tsx, frontend/src/styles.test.ts	central 401 teardown closes SSE and cache; modal retry and focus fallback pass; mutation state excludes CSRF; warning contrast is at least 4.5-to-1; judge re-review passed
2026-08-28T23:05:10Z	verification	ran frontend, backend, generated-contract, image, and full regression gates	the shell must be reproducible from OpenAPI and work from the production container, not only Vite	frontend npm gates and .venv/bin/python -m pytest -q	10 frontend tests, production build, deterministic generation, focused static checks, and 442 Python tests pass with one intentional skip
2026-08-28T23:05:10Z	cleanup	removed the exact cmdp-accept-unit1h containers, network, and named acceptance volumes	the disposable browser-acceptance state was no longer needed after judge approval	docker compose --project-name cmdp-accept-unit1h down -v --remove-orphans	no scoped containers or volumes remain; the verified local image and screenshots were retained
2026-08-28T23:21:22Z	implementation	landed unit 2A as a guarded provider transport and deterministic provider fake	provider discovery and probes must not turn administrator-supplied URLs into an SSRF, credential-leak, redirect, retry, or unbounded-input primitive	app/providers/network.py, tests/fakes.py	URL normalization, per-connection DNS validation and pinning, original-host TLS, origin locking, strict budgets, bounded JSON, stable errors, and deterministic provider behaviors pass
2026-08-28T23:21:22Z	judge	pinned the provider networking dependency tuple and proved original-host SNI against a DNS-only certificate	the first review found that transitive ranges weakened reproducibility and a dual-SAN fake did not prove which TLS identity the client presented	requirements.txt, tests/integration/test_provider_fake_endpoint.py	httpx, httpcore, and anyio are exact pins; pinned-IP connections present provider.test as SNI and pass judge re-review
2026-08-28T23:21:22Z	verification	ran the focused provider-network suites and environment consistency check	the guarded boundary needs real socket behavior in addition to pure URL and policy checks	tests/unit/test_provider_network.py, tests/integration/test_provider_fake_endpoint.py	62 owner cases and 56 judge-affected cases pass; pip check reports no broken requirements
2026-08-28T23:39:52Z	implementation	landed unit 2B as a six-table provider catalog with immutable profile versions and fenced capture runs	provider configuration must remain truthful across discovery, probes, credential rotation, endpoint edits, concurrent assignments, and worker retries	app/domain/providers.py, app/persistence/sqlalchemy/provider_store.py, migrations/versions/20260828_0002_provider_catalog.py	active-only endpoint naming, append-only provenance, scheme-aware discovery evidence, exact probe evidence, and role eligibility pass on real PostgreSQL
2026-08-28T23:39:52Z	judge	closed inactive-knowledge-base assignment, stale endpoint-profile assignment, unsafe custom reasoning, forged provenance, and custom-NONE runtime gaps	the judge reproduced catalog states that persistence accepted but runtime could not execute, plus caller-authored evidence labels and secret-bearing mapping fields	app/domain/providers.py, app/persistence/sqlalchemy/provider_store.py, app/providers/langchain.py	exact ACTIVE lifecycle and configuration fences, closed safe mappings, service-derived origins, and NONE omission pass judge re-review with no remaining P0 through P2 findings
2026-08-28T23:39:52Z	verification	ran migration, catalog, guarded network, execution, factory, API, credential-reader, and architecture gates against scoped PostgreSQL	the catalog must agree with its network and model consumers rather than pass only isolated persistence tests	provider-focused pytest gate with TEST_DATABASE_URL	130 root cases and 122 judge cases pass; downgrade one and re-upgrade/check pass; scoped PostgreSQL remains healthy for the next provider acceptance slice
2026-08-28T23:59:06Z	implementation	landed unit 2C as a guarded ChatOpenAI factory and durable provider discovery/probe worker handlers	provider calls must retain captured versions while re-reading secrets for every request and preserving safe retry semantics	app/providers/langchain.py, app/providers/execution.py, app/jobs/provider_handlers.py	per-request credential reads, bounded JSON and SSE, sanitized capture, exact probe attempts, and retryable discovery recovery pass
2026-08-28T23:59:06Z	judge	closed SDK exception state, successful and mislabeled response reflection, JSON-depth bypasses, raw model-ID echo, failed-job success, and permissive cost consent	the judge reproduced secret retention through public LangChain surfaces and hostile provider response shapes plus a durable state mismatch	tests/integration/test_provider_execution.py, tests/integration/test_provider_worker_end_to_end.py, tests/integration/test_provider_api.py	all P0 through P2 findings closed; exact provider dependency tuple pinned; final judge re-review passed
2026-08-28T23:59:06Z	verification	ran reversible migrations and the consolidated provider, credential, job, API, auth, static, and architecture gates against scoped PostgreSQL	LangChain and queue safety depend on real network call paths, database fencing, and deterministic generated contracts	TEST_DATABASE_URL provider-focused pytest gate, pip check, OpenAPI and TypeScript regeneration	165 judge cases and 127 independent root cases pass; migration downgrade and re-upgrade/check pass; generated contracts byte-match
2026-08-29T00:16:15Z	implementation	landed unit 2D as provider, model, probe, and role-assignment operations-folio flows	operators need truthful provenance and explicit cost and deployment-routing decisions without moving policy or secrets into the browser	frontend/src/features/providers, frontend/src/features/models, frontend/src/features/knowledge-bases/ModelAssignmentsPanel.tsx	write-only setup, live durable job status, settings versions, provenance, lifecycle-aware controls, and three independent assignments pass
2026-08-29T00:16:15Z	judge	closed idempotency-key reuse, frozen job status, archived mutations, inaccessible query errors, lost local validation, stale retry errors, and cross-wired acceptance scope	the judge reproduced misleading or conflicting operator state and showed the browser harness could mutate the wrong loopback stack before failing	frontend component regressions, scripts/verify_control_plane.py, frontend/e2e/provider-setup.spec.ts	all P0 through P2 findings closed; preflight binding and project-scoped proxy preserve the production boundary
2026-08-29T00:16:15Z	browser	proved Milestone 2 through the production image, real PostgreSQL, real worker, and deterministic authenticated fake	component and API tests cannot prove served-bundle secret handling, worker dispatch, restart persistence, or full operator sequencing	frontend/e2e/provider-setup.spec.ts	provider create, model discovery, settings edit, bounded tool probe, three role assignments, API and worker restarts, and browser/API/database/log/config sentinel scans pass in 21.8 seconds
2026-08-29T00:16:15Z	verification	ran full Python, frontend, verifier, deterministic contract, image, and live browser gates before accepting Milestone 2	provider execution must agree across catalog, SDK, worker, HTTP API, served UI, and persistence	pytest, frontend npm gates, verifier tests, production Compose and Playwright	576 Python tests with one intentional skip, 27 frontend tests, 32 verifier/static tests, and one live browser flow pass; judge reports no actionable findings
2026-08-29T00:18:54Z	cleanup	removed the exact cmdp-accept-unit2 Compose project, private network, and disposable volumes after acceptance passed	the production-image browser fixture had completed and retaining its database and application volumes would create misleading ambient state	docker compose -p cmdp-accept-unit2 down -v --remove-orphans	API, worker, migration, PostgreSQL, network, and scoped volumes were removed; reusable source-development PostgreSQL fixtures remain running
2026-08-29T00:28:11Z	implementation	added the repository transport and model-visible content safety primitives before source orchestration	Milestone 3 needs real TLS and ephemeral authentication evidence plus a closed ignore grammar and deterministic fingerprint before catalog jobs can call Git	app/sources/git.py, app/sources/content.py, tests/fakes.py	HTTPS-only URL normalization, all-answer DNS policy, pinned Git routing, verified TLS, static askpass, bounded subprocess output, .openwikiignore filtering, traversal rejection, and framed fingerprints pass 40 focused tests
2026-08-29T00:44:36Z	implementation	landed the source catalog and immutable repository materialization boundary	repository sources need durable lifecycle, revision, sync, and fencing state plus a real Git adapter before HTTP and worker orchestration can be truthful	app/domain/sources.py, app/persistence/sqlalchemy/source_store.py, app/sources/repository.py, migrations/versions/20260828_0003_source_catalog.py	exactly four source tables, reciprocal knowledge-base privacy guards, permit and credential fences, revision reuse, authenticated HTTPS Git, strict mirror configuration, unsupported tree rejection, and immutable revision-scoped artifacts pass
2026-08-29T00:44:36Z	judge	closed ambient Git configuration, URL rewrite, credential persistence, symlink escape, recursive glob, unbounded input, replacement race, and crash-left publication findings	the adversarial review reproduced paths that could bypass the pinned transport, escape containment, exhaust the process, or strand an immutable revision	app/sources/git.py, app/sources/content.py, app/sources/storage.py	all original boundary reproductions are fixed; crash-left publication now uses a durable locked intent and completion marker with retry recovery pending final focused re-review
2026-08-29T00:44:36Z	verification	ran source domain, catalog, migration, transport, content, storage, and repository gates against real PostgreSQL and authenticated HTTPS Git	the source seam must agree across database state, host identity, filters, tree inspection, and artifact publication rather than pass isolated mocks	source-focused pytest gates	54 catalog and migration cases plus 63 transport, content, storage, fake, and repository cases pass; migration 0003 downgrades and re-upgrades cleanly
2026-08-29T00:44:36Z	implementation	made provider health a persisted result of current discovery evidence	lifecycle alone cannot satisfy the requirement that TLS, authentication, and the models endpoint are proven before a provider is shown healthy	app/domain/providers.py, app/persistence/sqlalchemy/provider_store.py, migrations/versions/20260828_0004_provider_health.py	new endpoints and runtime changes are unknown; only current successful discovery becomes healthy; current failure becomes unhealthy; superseded work cannot change health
2026-08-29T00:44:36Z	verification	ran the provider catalog, API, worker, execution, credential, network, migration, and domain gates against scoped PostgreSQL	provider health must be fenced by the same configuration and credential capture as model discovery	provider-focused pytest gate and reversible migration	130 provider tests and three health/migration regression cases pass; Alembic metadata check and 0004 downgrade/re-upgrade pass
2026-08-29T02:22:09Z	implementation	completed repository source API, worker, dashboard, immutable revisions, polling, and drift-aware source history	source configuration is useful only when operators can run it and documentation can capture the exact revision	app/api/routes/sources.py, app/jobs/source_handlers.py, frontend/src/features/sources	repository source tests pass with public and authenticated HTTPS fixtures
2026-08-29T02:22:09Z	implementation	completed durable documentation planning, independent page jobs, Claims, evidence validation, publication, exports, and run UI	the wiki must be a repairable immutable product of captured inputs rather than transient model output	app/persistence/sqlalchemy/documentation_store.py, app/artifacts/wiki.py, frontend/src/features/documentation	real PostgreSQL and artifact tests cover generation, resumption, drift, no-op, and export
2026-08-29T02:22:09Z	judge	expanded replay and no-op validation from manifest equality to the complete retained bundle	a valid manifest alone cannot prove Markdown, Claim, index, and evidence artifacts were not modified	app/artifacts/wiki.py, tests/unit/test_wiki_artifacts.py	tampered artifacts trigger repair; full-bundle replay is byte-stable
2026-08-29T02:22:09Z	judge	rejected global Claim IDs and file-directory slug collisions before publication	page-local validation allowed deterministic database or artifact collisions during finalization	app/domain/documentation.py, tests/unit/test_documentation_models.py	collisions fail deterministically with terminal run and job parity
2026-08-29T02:22:09Z	implementation	completed the shared answer agent, latest-published retrieval, bounded source tools, verified citations, durable conversations, and dashboard chat	dashboard and Discord must share one authorization and evidence boundary	app/services/answer.py, app/persistence/sqlalchemy/answer_store.py, frontend/src/features/chat	chat API, generated client, retrieval, budgeting, and restart persistence tests pass
2026-08-29T02:22:09Z	implementation	completed stored Discord connections, REST discovery, gateway supervision, channel bindings, slash registration, reply policies, and dashboard setup	Discord is a delivery adapter whose lifecycle and policy belong to durable configuration	app/persistence/sqlalchemy/discord_store.py, app/entrypoints/discord.py, frontend/src/features/discord	focused fake REST, gateway, worker, authorization, presentation, and UI tests pass
2026-08-29T02:22:09Z	judge	added delivery-time authorization, soft binding deletion, cross-process gateway ownership, and concrete audience projection	disabling a binding during a model call, retained conversation foreign keys, duplicate gateway processes, and opaque restricted audiences were reproduced	app/entrypoints/discord.py, app/channels/discord/supervisor.py, migrations/versions/20260829_0008_discord_audience_and_binding_lifecycle.py	stale answers are suppressed; history survives deletion; PostgreSQL owns the gateway lease; UI lists viewer principals
2026-08-29T02:22:09Z	judge	serialized conversation turns across the history-read, model-call, and persistence boundary	record-only locking let concurrent turns load identical history and commit in completion order	app/services/answer.py, app/persistence/sqlalchemy/answer_store.py	one PostgreSQL advisory transaction lock now spans each complete turn
2026-08-29T02:22:09Z	implementation	completed SSRF-safe website crawling, robots and sitemap handling, immutable pages, incremental reuse, and web evidence	website sources must preserve the same captured-revision and citation guarantees as repositories	app/sources/website.py, migrations/versions/20260828_0007_website_sources.py, frontend/src/features/sources	HTTPS, limit, reuse, persistence, API, worker, evidence, and UI tests pass
2026-08-29T02:22:09Z	judge	stored website evidence artifact paths separately from externally rendered web resources	using a canonical URL as a filesystem path broke line validation and immutable replay	app/sources/evidence.py, app/persistence/sqlalchemy/documentation_store.py	publish-to-database-to-Wiki/API round trips retain exact web resources and fail on mismatches
2026-08-29T02:22:09Z	verification	ran the consolidated non-database regression gate after adversarial repairs	shared domain and adapter changes must remain compatible while database agents finish their focused work	pytest unit, architecture, contract, deployment, verifier, and legacy formatting tests	460 passed, one intentional skip; compileall and diff checks pass
2026-08-29T03:08:00Z	implementation	added durable model-usage accounting, bounded Prometheus metrics, and replay-safe retention	token cost, operational health, and storage lifecycle must remain visible without exposing secrets or deleting current evidence	app/services/metrics.py, app/services/retention.py, migrations/versions/20260829_0010_documentation_model_usage.py, migrations/versions/20260829_0011_source_revision_artifact_tombstones.py	planner and page retries aggregate exact usage; all required metric families export fixed labels; retention preserves current revisions, summaries, and audits while tombstones permit identical reingest
2026-08-29T03:08:00Z	judge	excluded nested bytecode from the release image and aligned browser acceptance with current operational and model-eligibility semantics	stale OpenCode bytecode crossed the image boundary, the overview assertion expected removed copy, and the provider journey proved tools but not required structured output	.dockerignore, frontend/e2e/auth-session.spec.ts, frontend/e2e/provider-setup.spec.ts	non-root runtime imports pass with no OpenCode paths or content; fresh auth and provider stacks pass including structured-output probing and all three role assignments
2026-08-29T03:08:00Z	verification	ran the complete release gate and bound every specification item to its executable evidence	release acceptance must cover real PostgreSQL, the generated contract, browser restarts, secrets, backup restoration, dependencies, and the shipped container in one reproducible command	scripts/verify_release.py, scripts/verify_spec.py, verification/spec_evidence.json	634 Python tests pass with one intentional skip; 48 frontend tests, typecheck, lint, build, both dependency audits, backup restore, non-root image probe, zero-finding high/critical Trivy scan, two live Compose browser journeys, and all 141 manifest items pass
